sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Error: ,10000,0,0,0,0.0,1.0,0.0,0.0,1139.0
/,10000,773,0,54441,3205.027942866207,0.6218,6.879878693978868,6.6852715159176315,995.0347
/test/start,20000,641,0,298084,5096.313418187068,0.60585,13.766775676585398,16.2030042610752,1205.2115
/test/submitInitials,10000,3803,0,312852,14573.84550328943,0.778,6.8917037670052785,193.64905942242353,28773.2386
/JElastic/dev/env/cross/getstats,10000,289,0,21004,1502.299054240147,0.0427,6.892316514472831,2.422429831479415,359.9034
/test/interestsMap,10000,1158,0,299692,7270.64579183802,0.6267,6.89275833024308,27.177499226934074,4037.5359
/test/sumbitInterestMap,10000,7707,0,321170,22395.84304800918,0.8468,6.892520787842696,6.0333734564199695,896.3592
/test/actuality,10000,969,0,307789,9218.742774250968,0.7371,6.894136399109829,7.2697052515394605,1079.784
/test/submitActuality,10000,7071,0,312082,20694.329267300538,1.0,6.896309164298359,9.554171634523545,1418.6533
/test/yovayshy,10000,1042,0,307816,10988.327979929205,0.7262,6.901249333166783,7.396586504054829,1097.4976
/tbproxy/af/upload,10000,249,0,30034,1537.6689003743816,0.0438,6.907856789076192,2.287651456918806,339.1146
/test/submitYovayshy,10000,7148,0,312030,21380.284520663303,1.0,6.914008403285814,9.476364224604328,1403.498
/test/result,10000,504,0,106415,3292.343200705388,0.5925,6.917188799134521,7.69314809541259,1138.8707
TOTAL,140000,2285,0,321170,12078.9869649692,0.6590928571428571,425.22172275543676,1337.3873648876959,3220.6366428571428
